"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"Cabo Verde";"Distrito Federal";"2011";"Maio";"0"
"África";"Cabo Verde";"Distrito Federal";"2011";"Junho";"7"
"África";"Cabo Verde";"Distrito Federal";"2011";"Julho";"1"
"África";"Cabo Verde";"Distrito Federal";"2011";"Agosto";"0"
"África";"Cabo Verde";"Distrito Federal";"2011";"Setembro";"2"
"África";"Cabo Verde";"Distrito Federal";"2011";"Outubro";"7"
"África";"Cabo Verde";"Distrito Federal";"2011";"Novembro";"6"
"África";"Cabo Verde";"Distrito Federal";"2011";"Dezembro";"1"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Janeiro";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Fevereiro";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Março";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Abril";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Maio";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Junho";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Julho";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Agosto";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Setembro";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Outubro";"0"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Novembro";"1"
"África";"Cabo Verde";"Mato Grosso do Sul";"2011";"Dezembro";"0"
"África";"Cabo Verde";"Minas Gerais";"2011";"Janeiro";"0"
"África";"Cabo Verde";"Minas Gerais";"2011";"Fevereiro";"1"
"África";"Cabo Verde";"Minas Gerais";"2011";"Março";"1"
"África";"Cabo Verde";"Minas Gerais";"2011";"Abril";"0"
"África";"Cabo Verde";"Minas Gerais";"2011";"Maio";"4"
"África";"Cabo Verde";"Minas Gerais";"2011";"Junho";"0"
"África";"Cabo Verde";"Minas Gerais";"2011";"Julho";"0"
